,"ld,.=K jd3⁄4;dj வானிழல அறிக்ழக Weather Report
2024.05.29 osk Wfoa 0830 g wjika jQ meh 24 i|yd
for the 24 hour period ending at 0830SLTS on this date",,,,,
"k`l2zìq&` m[&Sw`n
tspkz;lytpay; epiyaq;fs;
Meteorological Stations",,"@sv@N u:zWvy(@s)
epoypy; ntg;gepiy( nr)
Temperature in the shade (°C)
upÝmcaH Max avm,opTMin.",,"vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)
Daily Rainfall",,
wkrdOmrhஅநுராதபுரம் Anuradhapura,,31.9,26.0,0.0,,
"nÿ,,பதுளை Badulla",,29.2,19.8,0.0,,
"nKavdrfj, பண்டாரவளை Bandarawela",,27.1,20.1,0.0,,
"uvl,mj மட்டக்கைப்பு Batticaloa",,33.2,26.5,0.0,,
fld<U ககாழும்பு Colombo,,30.7,27.7,0.8,,
".d,,காலி Galle",,30.0,25.1,5.7,,
yïnkf;dg ம்பாந்ததாட்ளட Hambanthota,,32.8,26.5,0.0,,
hdmkh யாழ்ப்பாணம் Jaffna,,33.3,28.4,0.0,,
"fudKrd., கமானறாகளல Monaragala",,32.9,23.4,0.0,,
lgq.if;dgகட்டுகஸ்ததாட்ளட,Katugasthota,26.6,23.5,5.3,,
lgkdhl கட்டுநாயக்கா Katunayake,,30.8,27.5,2.4,,
"l=reKE., குருணாகல் Kurunagala",,30.2,26.0,2.6,,
"uy b ̈mm,,u மஹாஇலுப்பல்லம Maha Illuppallama",,30.5,26.3,0.0,,
ukkdru மன்னார் Mannar,,31.8,28.6,0.0,,
fmdf<dkkrejகபாலன்நறுவ,polonnaruwa,33.4,27.9,0.0,,
kjrt<hநுவகரலியா Nuwara,Eliya,17.9,15.4,10.5,,
"fmd;=ú,a கபாத்துவில் Pothuvil",,36.6,26.3,0.0,,
"m;;,uபுத்தைம் Puttalam",,31.3,27.8,0.0,,
"r;u,dk இரத்மலாளன Rathmalana",,31.9,28.0,2.8,,
r;kmrhஇரத்தினபுரி Rathnapura,,30.4,23.7,33.9,,
";%l=Kdu,hதிருதகாணமளல Trincomalee",,33.2,27.5,0.0,,
jõkhdjவவுனியா Vavuniya,,33.3,26.4,0.0,,
"u;;, மத்தை Mattla",,32.3,26.0,0.0,,
මුලතිව් முல்லைத்தீவுMullaitivu,,34.6,27.7,0.0,,
"úÿ,s n,d.dr wdY%; c,dY நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas",,,,,,
vR;`m`n Sw`n kio tPo;rp epiyaq;fs ;,Rainfall Stations,ÉÉ-kp.kP-mm,vR;`m`n,Sw`n kio tPo;rp epiyaq;fs \;,Rainfall Stations,ÉÉ-kp.kP-mm
කාසල්රීகாசல்றீச்Castlereigh,,47.0,රන්නදණිගල இ,ந்மதனிகைRandenigala,,0.0
න ෝටන්ந ாட்டன்Norton,,57.4,රන්ටැනේ இந்தம்நபRantambe,,,0.0
මාඕසසාකැනල්රம ௌசக்கநை Maussakele,,30.0,න ෝවතැන් நபாவத்தன்னBowatenna,,,0.0
කැනියන්கன்யன்Canyon,,58.0,උකුනවලஉக்குவைUkuwela,,,2.5
ලක්ෂපා ைக்சபானLakshapana,,60.6,සම ළවැවச னைமவவSamanala Wawa,,,0.0
ඉහල නකාත්මනල්රந ல்மகாத் லைUpper Kotmale,,24.2,කුකුනල්ර ගංඟ குக்குநேகங்கKukuleganaga,,,26.0
නකාත්මනල්ර மகாத் லைKotmale,,27.0,මසනකළිය ஸ்நகலியMaskeliya,,,NA
වික්නටෝරියාவிக்ந ாறியா Victoriya,,0.0,ෑ ඩ ாமபாலடNeboda,,,0.0
wkl=;a j3⁄4Idm;k ia:dk,,,,,,
ஏழைய நிழலயங்களின் மழைவீழ்ச்சி Other Rainfall Stations,,,,,,
vR;`m`nSw`n kio tPo;rp epiyaq;fs;,Rainfall Stations,ÉÉ-kp..kP- mm,vR;`m`n Sw`n kiotPo;rpepiyaq;fs; Rainfall Stations,,ÉÉ-kpkP- mm,
කෑරගල காகை Karagala,,135.2,ලබුගම ைபுக Labugama,,29.7,
අයගම அயக Ayagama,,56.9,උඩරදැල්රල உடைதல்ை Udaradella,,28.9,
ගුරුළුවා குறுழுவான Guruluwana,,55.6,මතුගම த்துக Mathugama,,23.4,
නකාටගල නරාසිටාமகாட்டகை மாசிட்டா Kotagala Rosita,,51.2,කලටුවාව கைட்டுமவவ Kalatuwawa,,23.0,
මාළින ාඩ ாலிமபாட Maliboda,,48.9,අනේනවල அம்நபமவை Ambewela,,21.5,
න න්නතාට වත්ත மபந்நதாட்டவத்தBenthotawatta,,40.0,කැටන්නදාළகட்டன்மதாைKethendola,,19.5,
හිනිඳුමகினிது Hiniduma,,40.0,හන්නදසස ெந்மதஸ்ஸ Handessa,,17.6,
නහල්රන ාඩ மெைமபாட Helboda North,,37.0,කළුතර களுத்துலை Kaluthara,,16.0,
එල්රසටන් எல்ஸ் ன் Elston,,35.0,පාදුක්ක பாதுக்லக Padukka Estate,,14.4,
ටුවන්ගල பட்டுவான்கைBatuwangala,,31.5,තලංගහ වත්ත தைங்ெக நதாட்டம்Thalangaha Estate,,13.4,
Wmßu j3⁄4Idm;kh,/ அதிகூடிய மழைவீழ்ச்சி/ Highest Rainfall :,,135.2 mm කෑරගල காரகல Keragala ( Rathnapura ),,,

Rainfall distribution over the period of 24 hours
ending at 08.30 a.m. on 29-05-2024
250
"200
150"
100
80
"50
30"
20
15
"10
5"
"1
0.1"
0
Rainfall amount (mm)
Department of Meteorology
Sri Lanka
